# Readings used for the author's molecular-biology lectures (Japanese narration).
# string,replacement,type - lines starting with '#' are comments, so an entry can be
# switched off or annotated without deleting it.
string,replacement,type
14N,じゅうよんエヌ,
2ビット,にビット,
3',さんだっしゅ,
5',ごだっしゅ,
70%,ななじゅっぱーせんと,
ATGC,エーティージーシー,
ATP,エーティーピー,
AT対,えーてぃーつい,
Avery,エイブリー,
Chase,チェイス,
CsCl,えんかセシウム,
DNA,ディーエヌエー,
DNase,ディーエヌエイス,
Ecoli,大腸菌,
Escherichia coli,エシェリキアコライ,
GC対,じーしーつい,
Genomics,ゲノミクス,
Griffith,グリフィス,
HIV,エッチアイブイ,
Hershey,ハーシー,
K12,ケージュウニ,
MS2,エムエストゥー,
MacLeod,マクラウド,
McCarty,マッカーティ,
Meselson,メセルソン,
Nature,ネイチャー,
O157,オーイチゴーナナ,
OD,オーディー,
October,オクトーバー,
PDF,ピーディーエフ,
Protease,プロテアーゼ,
Pååbo,ペーボ,
RNA,アールエヌエー,
RNase,アールエヌエイス,
Rough,ラフ,
R株,アールかぶ,
Smooth,スムース,
Stahl,スタール,
Streptococcus pneumoniae,ストレプトコッカスニューモニエ,
Sune Bergström,スネ・ベリストローム,
S株,エスかぶ,
T2,ティーつー,
Vinograd,ヴィノグラード,
Wikipedia,ウィキペディア,
X線回折像,えっくすせんかいせつぞう,
adenosine triphosphate,アデノシントリフォスフェイト,
base pairs,ベースペアー,
bp,ビーピー,
cytosine,シトシン,
eubacteria,,
nascent,ねいせんと,
nuclein,ヌクレイン,
ribonucleic,,
Å,オングストローム,
主溝,しゅこう,
二本鎖,にほんさ,
二重らせん,にじゅうらせん,
作る,つくる,
入り方,はいりかた,
出版,しゅっぱん,
出芽酵母,しゅつがこうぼ,
副溝,ふくこう,
勾配,こうばい,
単細胞,たんさいぼう,
単細胞性,たんさいぼうせい,
卵子中,らんしちゅう,
図解,ずかい,
培地,ばいち,
培養,ばいよう,
塩化,えんか,
塩基,えんき,
塩基対,えんきつい,
塩基数,えんきすう,
寒天,かんてん,
尤もらしい,もっともらしい,
帯状,おびじょう,
底側,そこがわ,
形質,けいしつ,
形質転換,けいしつてんかん,
後の世代,のちのせだい,
抽出物,ちゅうしゅつぶつ,
新生鎖,しんせいさ,
有無,うむ,
核酸塩基,かくさんえんき,
核酸塩基間,かくさんえんきかん,
版,はん,
生物種毎,せいぶつしゅごと,
相補鎖,そうほさ,
真正細菌,しんせいさいきん,
硫黄,いおう,
第7版,だいななはん,
細胞毎,さいぼうごと,
行った,おこなった,
見做される,みなされる,
見做し,みなし,
試し,ためし,
試み,こころみ,
謎,なぞ,
重合,じゅうごう,
鋳型,いがた,
鋳型鎖,いがたさ,
鎖,くさり,
頭文字,かしらもじ,
顕微鏡下,けんびきょうか,
